filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,p,a,wavelength_bin
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123422_cube.fits,97.8916,0.0,18.36,178164.4224917933,-7225.72674775937,92695.07461977632,85469.34787201695,480.8064193611928,480.8064193611928,126.5757623688055,66.77899114,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123423_cube.fits,97.80772,45.0,130.22,182087.14066883092,-11430.211426695896,96758.67604776342,85328.46462106753,397.537287389204,397.537287389204,126.1145151377112,66.60077713,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123424_cube.fits,97.70938,22.5,174.32,184873.38619267195,-9288.105008810991,97080.74560074147,87792.64059193048,407.3790816401548,407.3790816401548,125.6585613281019,66.4212248,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123425_cube.fits,97.61756,67.5,151.41,175876.35036586277,-9540.116457255572,92708.23341155918,83168.11695430361,345.56162139468864,345.56162139468864,125.2092898301123,66.24067105,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123426_cube.fits,97.53779,0.0,195.534,171714.30322733818,-6581.313194422488,89147.80821088034,82566.49501645785,386.487002782833,386.487002782833,124.7656254339029,66.05939067,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123427_cube.fits,97.43921,45.0,128.12,175904.33093704277,-11190.050785312313,93547.19086117754,82357.14007586523,413.2529505513197,413.2529505513197,124.3265538099569,65.87713501,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123428_cube.fits,97.34929,22.5,172.7,182652.78307695812,-9942.71663361916,96297.74985528864,86355.0332216695,402.6768466533874,402.6768466533874,123.8937832315757,65.69393151,1522.3565
/home/thomasmc/charis_mm_testing/BD343631-broadband-unpol/cubes/data/raw/CRSA00123429_cube.fits,97.25913,67.5,149.81,177538.19162695325,-10314.419546578458,93926.30558676584,83611.8860401874,380.18788096239456,380.18788096239456,123.46673480239,65.50953458,1522.3565
